naics,industry_title,aiie,industry_code,naics_code,industry_name
5412.0,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",2.215628,60541200.0,5412.0,"Accounting, tax preparation, bookkeeping, and payroll services"
5413.0,"Architectural, Engineering, and Related Services",1.492814,60541300.0,5413.0,"Architectural, engineering, and related services"
5414.0,Specialized Design Services,1.280983,60541400.0,5414.0,Specialized design services
5415.0,Computer Systems Design and Related Services,1.860226,60541500.0,5415.0,Computer systems design and related services
5416.0,"Management, Scientific, and Technical Consulting Services",1.8047,60541600.0,5416.0,"Management, scientific, and technical consulting services"
5417.0,Scientific Research and Development Services,1.635407,60541700.0,5417.0,Scientific research and development services
5418.0,"Advertising, Public Relations, and Related Services",1.305607,60541800.0,5418.0,"Advertising, public relations, and related services"
5419.0,"Other Professional, Scientific, and Technical Services",0.6022445,60541900.0,5419.0,"Other professional, scientific, and technical services"
5511.0,Management of Companies and Enterprises,1.69871,,,
5611.0,Office Administrative Services,1.753769,60561100.0,5611.0,Office administrative services
5612.0,Facilities Support Services,-1.008228,60561200.0,5612.0,Facilities support services
5613.0,Employment Services,-0.7234654,60561300.0,5613.0,Employment services
5614.0,Business Support Services,1.704965,60561400.0,5614.0,Business support services
5615.0,Travel Arrangement and Reservation Services,1.68347,60561500.0,5615.0,Travel arrangement and reservation services
5616.0,Investigation and Security Services,-0.3442498,60561600.0,5616.0,Investigation and security services
5617.0,Services to Buildings and Dwellings,-1.998597,60561700.0,5617.0,Services to buildings and dwellings
5619.0,Other Support Services,-0.4762704,60561900.0,5619.0,Other support services
5621.0,Waste Collection,-1.332496,60562100.0,5621.0,Waste collection
5622.0,Waste Treatment and Disposal,-0.7965308,60562200.0,5622.0,Waste treatment and disposal
5629.0,Remediation and Other Waste Management Services,-0.7835333,60562900.0,5629.0,Remediation and other waste management services
6111.0,Elementary and Secondary Schools,1.315956,65611100.0,6111.0,Private elementary and secondary schools
6112.0,Junior Colleges,1.530079,,,
6113.0,"Colleges, Universities, and Professional Schools",1.456562,,,
6114.0,Business Schools and Computer and Management Training,1.741192,65611400.0,6114.0,Private business schools and computer and management training
6115.0,Technical and Trade Schools,0.947026,65611500.0,6115.0,Private technical and trade schools
6116.0,Other Schools and Instruction,0.6729133,65611600.0,6116.0,Other private schools and instruction
6117.0,Educational Support Services,1.605398,65611700.0,6117.0,Private educational support services
6211.0,Offices of Physicians,1.009907,65621100.0,6211.0,Offices of physicians
6212.0,Offices of Dentists,0.4154884,65621200.0,6212.0,Offices of dentists
6213.0,Offices of Other Health Practitioners,0.7008373,65621300.0,6213.0,Offices of other health practitioners
6214.0,Outpatient Care Centers,0.9686477,65621400.0,6214.0,Outpatient care centers
6215.0,Medical and Diagnostic Laboratories,0.6741955,65621500.0,6215.0,Medical and diagnostic laboratories
6216.0,Home Health Care Services,0.6927072,65621600.0,6216.0,Home health care services
6219.0,Other Ambulatory Health Care Services,0.7869348,65621900.0,6219.0,Other ambulatory health care services
6221.0,General Medical and Surgical Hospitals,0.5274962,65622100.0,6221.0,General medical and surgical hospitals
6222.0,Psychiatric and Substance Abuse Hospitals,0.5211326,65622200.0,6222.0,Psychiatric and substance abuse hospitals
6223.0,Specialty (except Psychiatric and Substance Abuse) Hospitals,0.5900623,65622300.0,6223.0,"Specialty, except psychiatric and substance abuse, hospitals"
6231.0,Nursing Care Facilities (Skilled Nursing Facilities),-0.2430007,65623100.0,6231.0,Skilled nursing care facilities
6232.0,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",0.8572415,65623200.0,6232.0,"Residential intellectual and developmental disability, mental health, and substance abuse facilities"
6233.0,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,-0.4843864,65623300.0,6233.0,Continuing care retirement communities and assisted living facilities for the elderly
6239.0,Other Residential Care Facilities,0.7190148,65623900.0,6239.0,Other residential care facilities
6241.0,Individual and Family Services,1.163092,65624100.0,6241.0,Individual and family services
6242.0,"Community Food and Housing, and Emergency and Other Relief Services",0.8514432,65624200.0,6242.0,"Community food and housing, and emergency and other relief services"
6243.0,Vocational Rehabilitation Services,0.2863293,65624300.0,6243.0,Vocational rehabilitation services
6244.0,Child Day Care Services,0.0572718,65624400.0,6244.0,Child care services
7111.0,Performing Arts Companies,0.1677087,70711100.0,7111.0,Performing arts companies
7112.0,Spectator Sports,-0.2576417,70711200.0,7112.0,Spectator sports
7113.0,"Promoters of Performing Arts, Sports, and Similar Events",-0.1931654,,,
7114.0,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",1.910984,,,
7115.0,"Independent Artists, Writers, and Performers",0.6088023,70711500.0,7115.0,"Independent artists, writers, and performers"
7121.0,"Museums, Historical Sites, and Similar Institutions",0.380777,,,
7131.0,Amusement Parks and Arcades,-0.533819,70713100.0,7131.0,Amusement parks and arcades
7132.0,Gambling Industries,-0.1355364,70713200.0,7132.0,Gambling industries
7139.0,Other Amusement and Recreation Industries,-1.085068,70713900.0,7139.0,Other amusement and recreation industries
7211.0,Traveler Accommodation,-0.902616,70721100.0,7211.0,Traveler accommodation
